Reg_yr,Manufacturing_yr,Km_driven,Engine capacity,Prev_owners,Cylinders,Max Power,Seater,Ground_clearance,Bootspace,Fueltank,Airbags,Fueltype,RTO,Transmission,Insurance_expiry,Insurance_type,Drivetrain,Bodytype,Model,Brand,City,Price
2011,2011,"1,20,000 Kms",1197 cc,Second Owner,4,85.8bhp@6000rpm,5,170 mm,,43 Litres,0,Petrol,TG13,Manual,,,2 WD,sedan,maruti swift dzire,maruti,hyderabad,₹1.75 Lakh
Aug 2020,2020,"17,805 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,163 mm,,37 Litres,3,Petrol,kalyan,Manual,,,FWD,sedan,maruti swift dzire,dzire 2017-2020,mumbai,₹5.99 Lakh
Sept 2013,2013,"25,000 Kms",1197 cc,First Owner,4,85.8bhp@6000rpm,5,170 mm,,42 Litres,0,Petrol,Kolkata,Manual,,,FWD,sedan,maruti swift dzire,maruti,kolkata,₹2.69 Lakh
Jan 2012,2011,"53,789 Kms",1298 cc,First Owner,4,85.8bhp@6000rpm,5,170 mm,,43 Litres,2,Petrol,Mumbai,Manual,,,2 WD,sedan,maruti swift dzire,maruti,mumbai,₹2.45 Lakh
Feb 2011,2011,"80,000 Kms",1197 cc,First Owner,4,85.8bhp@6000rpm,5,170 mm,,42 Litres,0,Petrol,New Delhi,Manual,,,FWD,hatchback,maruti swift,maruti,gurgaon,₹1.75 Lakh
May 2008,2008,"89,632 Kms",1298 cc,First Owner,4,88.2@6000 (PS@rpm),5,170 mm,,43 Litres,0,Petrol,Ranga reddy,Manual,,,,hatchback,maruti swift,swift 2004-2010,hyderabad,₹1.99 Lakh
Jun 2019,2019,"22,725 Kms",1197 cc,First Owner,4,85.8bhp@6000rpm,5,170 mm,,42 Litres,0,Petrol,Vadodara,Manual,,,FWD,hatchback,maruti swift,maruti,ahmedabad,₹5.56 Lakh
Mar 2020,2020,"20,450 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,163 mm,,37 Litres,3,Petrol,Bangalore,Manual,,,FWD,hatchback,maruti swift,maruti,bangalore,₹6.65 Lakh
Dec 2012,2012,"21,000 Kms",1197 cc,First Owner,4,85.8bhp@6000rpm,5,170 mm,,42 Litres,0,Petrol,Mumbai,Manual,,,FWD,hatchback,maruti swift,maruti,thane,₹3.25 Lakh
2022,2022,"10,000 Kms",1197 cc,First Owner,4,88.50bhp@6000rpm,5,,,37 Litres,3,Petrol,Tiruvallur,Manual,,,,hatchback,maruti swift,swift 2021-2024,chennai,₹8.30 Lakh
May 2013,2013,"1,20,000 Kms",1248 cc,First Owner,4,88.8bhp@4000rpm,5,170 mm,,50 Litres,0,Diesel,Jaipur,Manual,,,FWD,sedan,maruti sx4,maruti,jaipur,₹2.65 Lakh
Jul 2011,2011,"70,000 Kms",1586 cc,Second Owner,4,103.3bhp@5600rpm,5,180 mm,,50 Litres,2,Petrol,Kolkata,Manual,,,FWD,sedan,maruti sx4,maruti,kolkata,₹1.60 Lakh
Mar 2019,2018,"45,000 Kms",1248 cc,First Owner,4,88.5bhp@4000rpm,5,198 mm,,48 Litres,2,Diesel,Faridabad,Manual,,,FWD,suv,maruti vitara brezza,maruti,new delhi,₹5.85 Lakh
Aug 2018,2018,"61,000 Kms",998 cc,First Owner,3,67bhp@6000rpm,5,165 mm,,35 Litres,0,Petrol,Jaipur,Automatic,,,FWD,hatchback,maruti wagon r,maruti,jaipur,₹4.20 Lakh
Apr 2020,2019,"14,000 Kms",998 cc,First Owner,3,67bhp@6000rpm,5,165 mm,,35 Litres,2,Petrol,Mumbai,Automatic,,,FWD,hatchback,maruti wagon r,maruti,mumbai,₹5 Lakh
Nov 2011,2011,"1,00,000 Kms",998 cc,First Owner,3,67.1bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Sangareddi,Manual,,,FWD,hatchback,maruti wagon r,maruti,hyderabad,₹1.80 Lakh
Mar 2012,2011,"85,000 Kms",998 cc,First Owner,3,67.1bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Jaipur,Manual,,,FWD,hatchback,maruti wagon r,maruti,jaipur,₹2.30 Lakh
May 2013,2013,"36,400 Kms",998 cc,First Owner,3,67.04bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Mumbai,Manual,,,FWD,hatchback,maruti wagon r,maruti,mumbai,₹2.75 Lakh
Jun 2011,2011,"68,000 Kms",998 cc,First Owner,3,67.1bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Thane,Manual,,,FWD,hatchback,maruti wagon r,maruti,mumbai,₹2.15 Lakh
Aug 2016,2016,"39,000 Kms",998 cc,First Owner,3,67.04bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Mumbai,Manual,,,FWD,hatchback,maruti wagon r,maruti,mumbai,₹2.96 Lakh
May 2012,2012,"72,000 Kms",998 cc,First Owner,3,67.1bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Mumbai,Manual,,,FWD,hatchback,maruti wagon r,maruti,mumbai,₹2.10 Lakh
Nov 2011,2011,"59,000 Kms",998 cc,First Owner,3,67.1bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Ranga reddy,Manual,,,FWD,hatchback,maruti wagon r,maruti,hyderabad,₹2.45 Lakh
Nov 2005,2005,"56,219 Kms",1061 cc,First Owner,4,"64@6,200 (PS@rpm)",5,165 mm,,35 Litres,0,Petrol,Hyderabad,Manual,,,,hatchback,maruti wagon r,maruti,hyderabad,₹95 Thousand
Nov 2018,2018,"57,515 Kms",998 cc,Second Owner,3,58.16bhp@6200rpm,5,165 mm,,7 Litres,0,CNG,Surendranagar,Manual,,,FWD,hatchback,maruti wagon r,wagon r 2013-2022,ahmedabad,₹3.74 Lakh
Jul 2013,2013,"81,408 Kms",998 cc,First Owner,3,58.16bhp@6200rpm,5,165 mm,,7 Litres,0,CNG,Faridabad,Manual,,,FWD,hatchback,maruti wagon r,maruti,gurgaon,₹2.28 Lakh
Jun 2013,2013,"73,000 Kms",998 cc,First Owner,3,58.16bhp@6200rpm,5,165 mm,,7 Litres,0,CNG,Hyderabad,Manual,,,FWD,hatchback,maruti wagon r,maruti,hyderabad,₹3.20 Lakh
Aug 2008,2008,"80,000 Kms",998 cc,First Owner,3,58.2bhp@6200rpm,5,165 mm,,60 Litres,0,LPG,Khammam,Manual,,,FWD,hatchback,maruti wagon r,maruti,hyderabad,₹1.20 Lakh
2021,2021,"50,000 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,,,32 Litres,2,Petrol,Ranga reddy,Manual,,,FWD,hatchback,maruti wagon r,maruti,hyderabad,₹4.80 Lakh
Nov 2015,2015,"62,001 Kms",998 cc,First Owner,3,67.04bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,Kolkata,Manual,,,FWD,hatchback,maruti wagon r,wagon r 2013-2022,kolkata,₹2.55 Lakh
Mar 2014,2014,"16,260 Kms",998 cc,First Owner,3,67.04bhp@6200rpm,5,165 mm,,35 Litres,0,Petrol,New Delhi,Manual,,,FWD,hatchback,maruti wagon r,maruti,new delhi,₹2.55 Lakh
